# Sub-linear monotone increasing function of a positive integer index
# Observable: y(n) — a smooth, slowly growing scalar quantity
# Range: n = 10001 to 50000 (step 25)
=== sweep 1 ===
n	y
13551	64.871817
13576	64.918139
13601	64.964406
13626	65.010617
13651	65.056772
13676	65.102873
13701	65.148919
13726	65.194910
13751	65.240847
13776	65.286729
13801	65.332557
13826	65.378332
13851	65.424052
13876	65.469718
13901	65.515331
13926	65.560890
13951	65.606397
13976	65.651850
14001	65.697250
14026	65.742597
14051	65.787892
14076	65.833134
14101	65.878324
14126	65.923462
14151	65.968548
14176	66.013582
14201	66.058564
14226	66.103495
14251	66.148374
14276	66.193202
14301	66.237979
14326	66.282704
14351	66.327379
14376	66.372004
14401	66.416577
14426	66.461101
14451	66.505574
14476	66.549997
14501	66.594370
14526	66.638693
14551	66.682967
14576	66.727191
14601	66.771365
14626	66.815490
14651	66.859567
14676	66.903594
14701	66.947572
14726	66.991502
14751	67.035383
14776	67.079215
14801	67.122999
14826	67.166736
14851	67.210424
14876	67.254064
14901	67.297656
14926	67.341201
14951	67.384698
14976	67.428148
15001	67.471550
15026	67.514906
15051	67.558214
15076	67.601476
15101	67.644690
15126	67.687859
15151	67.730980
15176	67.774056
15201	67.817085
15226	67.860068
15251	67.903005
15276	67.945896
15301	67.988741
15326	68.031541
15351	68.074295
15376	68.117004
15401	68.159668
15426	68.202286
15451	68.244860
15476	68.287389
15501	68.329872
15526	68.372312
15551	68.414706
15576	68.457056
15601	68.499362
15626	68.541624
15651	68.583842
15676	68.626016
15701	68.668146
15726	68.710232
15751	68.752274
15776	68.794273
15801	68.836229
15826	68.878142
15851	68.920011
15876	68.961837
15901	69.003620
15926	69.045361
15951	69.087059
15976	69.128714
16001	69.170326
16026	69.211897
16051	69.253425
16076	69.294911
16101	69.336354
16126	69.377756
16151	69.419116
16176	69.460435
16201	69.501711
16226	69.542946
16251	69.584140
16276	69.625292
16301	69.666404
16326	69.707474
16351	69.748503
16376	69.789491
16401	69.830438
16426	69.871345
16451	69.912211
16476	69.953037
16501	69.993822
16526	70.034567
16551	70.075271
16576	70.115936
16601	70.156561
16626	70.197145
16651	70.237690
16676	70.278196
16701	70.318661
16726	70.359087
16751	70.399474
16776	70.439822
16801	70.480130
16826	70.520399
16851	70.560629
16876	70.600820
16901	70.640973
16926	70.681086
16951	70.721161
16976	70.761198
17001	70.801196
17026	70.841155
17051	70.881077
17076	70.920960
17101	70.960805
17126	71.000612
17151	71.040381
17176	71.080113
17201	71.119806
17226	71.159462
17251	71.199081
17276	71.238662
17301	71.278206
17326	71.317712
17351	71.357181
17376	71.396613
17401	71.436008
17426	71.475367
17451	71.514688
17476	71.553973
17501	71.593221
17526	71.632432
17551	71.671607
17576	71.710746
17601	71.749848
17626	71.788914
17651	71.827943
17676	71.866937
17701	71.905895
17726	71.944817
17751	71.983703
17776	72.022553
17801	72.061368
17826	72.100147
17851	72.138891
17876	72.177599
17901	72.216272
17926	72.254910
17951	72.293512
17976	72.332080
18001	72.370612
18026	72.409109
18051	72.447572
18076	72.486000
18101	72.524393
18126	72.562752
18151	72.601076
18176	72.639366
18201	72.677621
18226	72.715842
18251	72.754029
18276	72.792182
18301	72.830300
18326	72.868385
18351	72.906436
18376	72.944453
18401	72.982436
18426	73.020385
18451	73.058301
18476	73.096184
18501	73.134032
18526	73.171848
18551	73.209630
18576	73.247379
18601	73.285095
18626	73.322778
18651	73.360428
18676	73.398044
18701	73.435628
18726	73.473179
18751	73.510698
18776	73.548184
18801	73.585637
18826	73.623058
18851	73.660446
18876	73.697802
18901	73.735125
18926	73.772417
18951	73.809676
18976	73.846903
19001	73.884098
19026	73.921261
19051	73.958393
19076	73.995492
19101	74.032560
19126	74.069596
19151	74.106601
19176	74.143574
19201	74.180515
19226	74.217425
19251	74.254304
19276	74.291151
19301	74.327968
19326	74.364753
19351	74.401507
19376	74.438230
19401	74.474922
19426	74.511584
19451	74.548214
19476	74.584814
19501	74.621383
19526	74.657922
19551	74.694429
19576	74.730907
19601	74.767354
19626	74.803771
19651	74.840157
19676	74.876513
19701	74.912839
19726	74.949135
19751	74.985401
19776	75.021637
19801	75.057843
19826	75.094019
19851	75.130166
19876	75.166282
19901	75.202369
19926	75.238427
19951	75.274454
19976	75.310453
20001	75.346422
20026	75.382361
20051	75.418272
20076	75.454153
20101	75.490005
20126	75.525827
20151	75.561621
20176	75.597386
20201	75.633121
20226	75.668828
20251	75.704506
20276	75.740156
20301	75.775776
20326	75.811368
20351	75.846932
20376	75.882466
20401	75.917973
20426	75.953451
20451	75.988900
20476	76.024321
20501	76.059714
20526	76.095079
20551	76.130416
20576	76.165725
20601	76.201005
20626	76.236258
20651	76.271482
20676	76.306679
20701	76.341848
20726	76.376990
20751	76.412103
20776	76.447189
20801	76.482248
20826	76.517279
20851	76.552282
20876	76.587258
20901	76.622207
20926	76.657128
20951	76.692022
20976	76.726889
21001	76.761729
21026	76.796542
21051	76.831327
21076	76.866086
21101	76.900818
21126	76.935523
21151	76.970201
21176	77.004852
21201	77.039476
21226	77.074074
21251	77.108645
21276	77.143190
21301	77.177708
21326	77.212200
21351	77.246665
21376	77.281104
21401	77.315516
21426	77.349903
21451	77.384263
21476	77.418597
21501	77.452905
21526	77.487186
21551	77.521442
21576	77.555672
21601	77.589876
21626	77.624054
21651	77.658206
21676	77.692332
21701	77.726433
21726	77.760508
21751	77.794557
21776	77.828581
21801	77.862579
21826	77.896552
21851	77.930500
21876	77.964422
21901	77.998318
21926	78.032190
21951	78.066036
21976	78.099857
22001	78.133653
22026	78.167424
22051	78.201169
22076	78.234890
22101	78.268586
22126	78.302257
22151	78.335902
22176	78.369524
22201	78.403120
22226	78.436692
22251	78.470239
22276	78.503761
22301	78.537259
22326	78.570732
22351	78.604181
22376	78.637605
22401	78.671005
22426	78.704380
22451	78.737732
22476	78.771059
22501	78.804361
22526	78.837640
22551	78.870894
22576	78.904125
22601	78.937331
22626	78.970513
22651	79.003671
22676	79.036806
22701	79.069916
22726	79.103003
22751	79.136066
22776	79.169105
22801	79.202120
22826	79.235112
22851	79.268080
22876	79.301024
22901	79.333945
22926	79.366843
22951	79.399717
22976	79.432568
23001	79.465395
23026	79.498199
23051	79.530980
23076	79.563737
23101	79.596471
23126	79.629182
23151	79.661870
23176	79.694535
23201	79.727177
23226	79.759796
23251	79.792392
23276	79.824965
23301	79.857515
23326	79.890043
23351	79.922547
23376	79.955029
23401	79.987488
23426	80.019924
23451	80.052338
23476	80.084729
23501	80.117098
23526	80.149444
23551	80.181768
23576	80.214069
23601	80.246348
23626	80.278604
23651	80.310838
23676	80.343050
23701	80.375240
23726	80.407407
23751	80.439552
23776	80.471676
23801	80.503777
23826	80.535856
23851	80.567913
23876	80.599948
23901	80.631961
23926	80.663952
23951	80.695921
23976	80.727869
24001	80.759795
24026	80.791699
24051	80.823581
24076	80.855442
24101	80.887281
24126	80.919098
24151	80.950894
24176	80.982668
24201	81.014421
24226	81.046153
24251	81.077863
24276	81.109551
24301	81.141218
24326	81.172864
24351	81.204489
24376	81.236093
24401	81.267675
24426	81.299236
24451	81.330776
24476	81.362295
24501	81.393793
24526	81.425270
24551	81.456725
24576	81.488160
24601	81.519574
24626	81.550967
24651	81.582340
24676	81.613691
24701	81.645022
24726	81.676332
24751	81.707621
24776	81.738890
24801	81.770138
24826	81.801365
24851	81.832572
24876	81.863758
24901	81.894924
24926	81.926069
24951	81.957194
24976	81.988298
25001	82.019382
25026	82.050446
25051	82.081490
25076	82.112513
25101	82.143516
25126	82.174498
25151	82.205461
25176	82.236404
25201	82.267326
25226	82.298228
25251	82.329111
25276	82.359973
25301	82.390815
25326	82.421638
25351	82.452440
25376	82.483223
25401	82.513985
25426	82.544728
25451	82.575452
25476	82.606155
25501	82.636839
25526	82.667503
25551	82.698147
25576	82.728772
25601	82.759377
25626	82.789963
25651	82.820529
25676	82.851076
25701	82.881603
25726	82.912111
25751	82.942599
25776	82.973068
25801	83.003518
25826	83.033949
25851	83.064360
25876	83.094752
25901	83.125124
25926	83.155478
25951	83.185812
25976	83.216127
26001	83.246424
26026	83.276701
26051	83.306959
26076	83.337198
26101	83.367418
26126	83.397619
26151	83.427801
26176	83.457965
26201	83.488109
26226	83.518235
26251	83.548342
26276	83.578430
26301	83.608500
26326	83.638550
26351	83.668582
26376	83.698596
26401	83.728591
26426	83.758567
26451	83.788524
26476	83.818464
26501	83.848384
26526	83.878286
26551	83.908170
26576	83.938036
26601	83.967883
26626	83.997711
26651	84.027521
26676	84.057313
26701	84.087087
26726	84.116843
26751	84.146580
26776	84.176299
26801	84.206000
26826	84.235683
26851	84.265347
26876	84.294994
26901	84.324622
26926	84.354233
26951	84.383826
26976	84.413400
27001	84.442957
27026	84.472496
27051	84.502016
27076	84.531519
27101	84.561005
27126	84.590472
27151	84.619922
27176	84.649353
27201	84.678768
27226	84.708164
27251	84.737543
27276	84.766904
27301	84.796248
27326	84.825574
27351	84.854882
27376	84.884173
27401	84.913446
27426	84.942702
27451	84.971941
27476	85.001162
27501	85.030365
27526	85.059551
27551	85.088720
27576	85.117872
27601	85.147006
27626	85.176123
27651	85.205223
27676	85.234305
27701	85.263371
27726	85.292419
27751	85.321450
27776	85.350464
27801	85.379461
27826	85.408440
27851	85.437403
27876	85.466349
27901	85.495277
27926	85.524189
27951	85.553084
27976	85.581962
28001	85.610823
28026	85.639667
28051	85.668494
28076	85.697305
28101	85.726098
28126	85.754875
28151	85.783635
28176	85.812379
28201	85.841106
28226	85.869816
28251	85.898509
28276	85.927186
28301	85.955846
28326	85.984490
28351	86.013117
28376	86.041727
28401	86.070322
28426	86.098899
28451	86.127460
28476	86.156005
28501	86.184533
28526	86.213045
28551	86.241541
28576	86.270020
28601	86.298483
28626	86.326930
28651	86.355360
28676	86.383774
28701	86.412172
28726	86.440554
28751	86.468919
28776	86.497269
28801	86.525602
28826	86.553919
28851	86.582220
28876	86.610505
28901	86.638774
28926	86.667027
28951	86.695264
28976	86.723486
29001	86.751691
29026	86.779880
29051	86.808053
29076	86.836211
29101	86.864352
29126	86.892478
29151	86.920588
29176	86.948682
29201	86.976760
29226	87.004823
29251	87.032870
29276	87.060901
29301	87.088917
29326	87.116917
29351	87.144901
29376	87.172870
29401	87.200823
29426	87.228761
29451	87.256683
29476	87.284589
29501	87.312480
29526	87.340356
29551	87.368216
29576	87.396060
29601	87.423890
29626	87.451703
29651	87.479502
29676	87.507285
29701	87.535053
29726	87.562805
29751	87.590542
29776	87.618264
29801	87.645971
29826	87.673663
29851	87.701339
29876	87.729000
29901	87.756646
29926	87.784277
29951	87.811892
29976	87.839493
30001	87.867079
30026	87.894649
30051	87.922204
30076	87.949745
30101	87.977270
30126	88.004781
30151	88.032276
30176	88.059757
30201	88.087223
30226	88.114673
30251	88.142109
30276	88.169530
30301	88.196937
30326	88.224328
30351	88.251705
30376	88.279067
30401	88.306414
30426	88.333746
30451	88.361064
30476	88.388367
30501	88.415655
30526	88.442929
30551	88.470188
30576	88.497433
30601	88.524662
30626	88.551878
30651	88.579079
30676	88.606265
30701	88.633436
30726	88.660594
30751	88.687736
30776	88.714865
30801	88.741979
30826	88.769078
30851	88.796163
30876	88.823234
30901	88.850290
30926	88.877332
30951	88.904360
30976	88.931373
31001	88.958372
31026	88.985357
31051	89.012328
31076	89.039284
31101	89.066226
31126	89.093154
31151	89.120068
31176	89.146968
31201	89.173853
31226	89.200725
31251	89.227582
31276	89.254425
31301	89.281255
31326	89.308070
31351	89.334871
31376	89.361658
31401	89.388431
31426	89.415191
31451	89.441936
31476	89.468667
31501	89.495385
31526	89.522088
31551	89.548778
31576	89.575454
31601	89.602116
31626	89.628764
31651	89.655398
31676	89.682019
31701	89.708626
31726	89.735219
31751	89.761798
31776	89.788364
31801	89.814916
31826	89.841454
31851	89.867979
31876	89.894490
31901	89.920987
31926	89.947471
31951	89.973941
31976	90.000398
32001	90.026841
32026	90.053270
32051	90.079686
32076	90.106089
32101	90.132478
32126	90.158853
32151	90.185216
32176	90.211564
32201	90.237900
32226	90.264221
32251	90.290530
32276	90.316825
32301	90.343107
32326	90.369375
32351	90.395631
32376	90.421873
32401	90.448101
32426	90.474316
32451	90.500519
32476	90.526707
32501	90.552883
32526	90.579046
32551	90.605195
32576	90.631331
32601	90.657454
32626	90.683564
32651	90.709661
32676	90.735745
32701	90.761815
32726	90.787873
32751	90.813917
32776	90.839949
32801	90.865967
32826	90.891973
32851	90.917965
32876	90.943945
32901	90.969911
32926	90.995865
32951	91.021806
32976	91.047734
33001	91.073649
33026	91.099551
33051	91.125440
33076	91.151316
33101	91.177180
33126	91.203031
33151	91.228869
33176	91.254694
33201	91.280507
33226	91.306307
33251	91.332094
33276	91.357868
33301	91.383630
33326	91.409379
33351	91.435115
33376	91.460839
33401	91.486550
33426	91.512248
33451	91.537934
33476	91.563608
33501	91.589268
33526	91.614917
33551	91.640552
33576	91.666175
33601	91.691786
33626	91.717384
33651	91.742970
33676	91.768543
33701	91.794104
33726	91.819652
33751	91.845188
33776	91.870712
33801	91.896223
33826	91.921722
33851	91.947208
33876	91.972682
33901	91.998144
33926	92.023594
33951	92.049031
33976	92.074456
34001	92.099868
34026	92.125269
34051	92.150657
34076	92.176033
34101	92.201397
34126	92.226748
34151	92.252088
34176	92.277415
34201	92.302730
34226	92.328033
34251	92.353324
34276	92.378603
34301	92.403870
34326	92.429124
34351	92.454367
34376	92.479597
34401	92.504816
34426	92.530022
34451	92.555217
34476	92.580399
34501	92.605570
34526	92.630729
34551	92.655875
34576	92.681010
34601	92.706133
34626	92.731244
34651	92.756343
34676	92.781430
34701	92.806505
34726	92.831569
34751	92.856620
34776	92.881660
34801	92.906688
34826	92.931705
34851	92.956709
34876	92.981702
34901	93.006683
34926	93.031652
34951	93.056610
34976	93.081555
35001	93.106490
35026	93.131412
35051	93.156323
35076	93.181222
35101	93.206110
35126	93.230986
35151	93.255850
35176	93.280703
35201	93.305544
35226	93.330373
35251	93.355191
35276	93.379998
35301	93.404793
35326	93.429576
35351	93.454348
35376	93.479109
35401	93.503858
35426	93.528596
35451	93.553322
35476	93.578036
35501	93.602740
35526	93.627431
35551	93.652112
35576	93.676781
35601	93.701439
35626	93.726085
35651	93.750720
35676	93.775344
35701	93.799956
35726	93.824558
35751	93.849147
35776	93.873726
35801	93.898293
35826	93.922849
35851	93.947394
35876	93.971928
35901	93.996450
35926	94.020961
35951	94.045461
35976	94.069950
36001	94.094428
36026	94.118894
36051	94.143350
36076	94.167794
36101	94.192227
36126	94.216649
36151	94.241061
36176	94.265460
36201	94.289849
36226	94.314227
36251	94.338594
36276	94.362950
36301	94.387295
36326	94.411629
36351	94.435951
36376	94.460263
36401	94.484564
36426	94.508854
36451	94.533133
36476	94.557401
36501	94.581659
36526	94.605905
36551	94.630140
36576	94.654365
36601	94.678579
36626	94.702782
36651	94.726974
36676	94.751155
36701	94.775325
36726	94.799485
36751	94.823634
36776	94.847772
36801	94.871899
36826	94.896016
36851	94.920122
36876	94.944217
36901	94.968301
36926	94.992375
36951	95.016438
36976	95.040490
37001	95.064532
37026	95.088563
37051	95.112583
37076	95.136593
37101	95.160592
37126	95.184581
37151	95.208559
37176	95.232526
37201	95.256483
37226	95.280429
37251	95.304365
37276	95.328290
37301	95.352205
37326	95.376109
37351	95.400003
37376	95.423886
37401	95.447758
37426	95.471621
37451	95.495472
37476	95.519314
37501	95.543145
37526	95.566965
37551	95.590775
37576	95.614575
37601	95.638364
37626	95.662143
37651	95.685912
37676	95.709670
37701	95.733418
37726	95.757155
37751	95.780883
37776	95.804600
37801	95.828306
37826	95.852003
37851	95.875689
37876	95.899365
37901	95.923030
37926	95.946686
37951	95.970331
37976	95.993966
38001	96.017590
38026	96.041205
38051	96.064809
38076	96.088403
38101	96.111987
38126	96.135561
38151	96.159125
38176	96.182679
38201	96.206222
38226	96.229755
38251	96.253279
38276	96.276792
38301	96.300295
38326	96.323788
38351	96.347271
38376	96.370744
38401	96.394207
38426	96.417660
38451	96.441103
38476	96.464536
38501	96.487959
38526	96.511372
38551	96.534775
38576	96.558168
38601	96.581551
38626	96.604924
38651	96.628287
38676	96.651641
38701	96.674984
38726	96.698318
38751	96.721641
38776	96.744955
38801	96.768259
38826	96.791553
38851	96.814838
38876	96.838112
38901	96.861377
38926	96.884631
38951	96.907876
38976	96.931112
39001	96.954337
39026	96.977553
39051	97.000759
39076	97.023955
39101	97.047141
39126	97.070318
39151	97.093485
39176	97.116643
39201	97.139790
39226	97.162928
39251	97.186056
39276	97.209175
39301	97.232284
39326	97.255383
39351	97.278473
39376	97.301553
39401	97.324624
39426	97.347684
39451	97.370736
39476	97.393777
39501	97.416810
39526	97.439832
39551	97.462845
39576	97.485849
39601	97.508842
39626	97.531827
39651	97.554802
39676	97.577767
39701	97.600723
39726	97.623669
39751	97.646606
39776	97.669534
39801	97.692452
39826	97.715361
39851	97.738260
39876	97.761149
39901	97.784030
39926	97.806901
39951	97.829762
39976	97.852614
40001	97.875457
40026	97.898291
40051	97.921115
40076	97.943929
40101	97.966735
40126	97.989531
40151	98.012317
40176	98.035095
40201	98.057863
40226	98.080622
40251	98.103371
40276	98.126112
40301	98.148843
40326	98.171564
40351	98.194277
40376	98.216980
40401	98.239674
40426	98.262359
40451	98.285035
40476	98.307701
40501	98.330359
40526	98.353007
40551	98.375646
40576	98.398275
40601	98.420896
40626	98.443508
40651	98.466110
40676	98.488703
40701	98.511287
40726	98.533862
40751	98.556428
40776	98.578985
40801	98.601533
40826	98.624072
40851	98.646601
40876	98.669122
40901	98.691634
40926	98.714136
40951	98.736630
40976	98.759114
41001	98.781590
41026	98.804056
41051	98.826514
41076	98.848963
41101	98.871402
41126	98.893833
41151	98.916255
41176	98.938668
41201	98.961071
41226	98.983466
41251	99.005852
41276	99.028230
41301	99.050598
41326	99.072957
41351	99.095308
41376	99.117649
41401	99.139982
41426	99.162306
41451	99.184621
41476	99.206927
41501	99.229225
41526	99.251513
41551	99.273793
41576	99.296064
41601	99.318326
41626	99.340580
41651	99.362825
41676	99.385061
41701	99.407288
41726	99.429506
41751	99.451716
41776	99.473917
41801	99.496109
41826	99.518293
41851	99.540467
41876	99.562634
41901	99.584791
41926	99.606940
41951	99.629080
41976	99.651211
42001	99.673334
42026	99.695448
42051	99.717554
42076	99.739651
42101	99.761739
42126	99.783819
42151	99.805890
42176	99.827953
42201	99.850007
42226	99.872052
42251	99.894089
42276	99.916117
42301	99.938137
42326	99.960148
42351	99.982151
42376	100.004145
42401	100.026130
42426	100.048107
42451	100.070076
42476	100.092036
42501	100.113988
42526	100.135931
42551	100.157865
42576	100.179792
42601	100.201709
42626	100.223619
42651	100.245520
42676	100.267412
42701	100.289296
42726	100.311172
42751	100.333039
42776	100.354898
42801	100.376749
42826	100.398591
42851	100.420424
42876	100.442250
42901	100.464067
42926	100.485875
42951	100.507676
42976	100.529468
43001	100.551252
43026	100.573027
43051	100.594794
43076	100.616553
43101	100.638303
43126	100.660046
43151	100.681780
43176	100.703505
43201	100.725223
43226	100.746932
43251	100.768633
43276	100.790326
43301	100.812010
43326	100.833686
43351	100.855354
43376	100.877014
43401	100.898666
43426	100.920309
43451	100.941945
43476	100.963572
43501	100.985191
43526	101.006802
43551	101.028404
43576	101.049999
43601	101.071585
43626	101.093164
43651	101.114734
43676	101.136296
43701	101.157850
43726	101.179396
43751	101.200934
43776	101.222463
43801	101.243985
43826	101.265499
43851	101.287004
43876	101.308502
43901	101.329991
43926	101.351472
43951	101.372946
43976	101.394411
44001	101.415869
44026	101.437318
44051	101.458759
44076	101.480193
44101	101.501618
44126	101.523036
44151	101.544445
44176	101.565847
44201	101.587240
44226	101.608626
44251	101.630003
44276	101.651373
44301	101.672735
44326	101.694089
44351	101.715435
44376	101.736773
44401	101.758103
44426	101.779426
44451	101.800740
44476	101.822047
44501	101.843346
44526	101.864636
44551	101.885919
44576	101.907195
44601	101.928462
44626	101.949722
44651	101.970973
44676	101.992217
44701	102.013453
44726	102.034682
44751	102.055902
44776	102.077115
44801	102.098320
44826	102.119517
44851	102.140707
44876	102.161888
44901	102.183062
44926	102.204229
44951	102.225387
44976	102.246538
45001	102.267681
45026	102.288816
45051	102.309944
45076	102.331064
45101	102.352176
45126	102.373281
45151	102.394378
45176	102.415467
45201	102.436548
45226	102.457622
45251	102.478689
45276	102.499747
45301	102.520798
45326	102.541842
45351	102.562877
45376	102.583905
45401	102.604926
45426	102.625939
45451	102.646944
45476	102.667942
45501	102.688932
45526	102.709915
45551	102.730890
45576	102.751857
45601	102.772817
45626	102.793770
45651	102.814715
45676	102.835652
45701	102.856582
45726	102.877504
45751	102.898419
45776	102.919326
45801	102.940226
45826	102.961118
45851	102.982003
45876	103.002880
45901	103.023750
45926	103.044613
45951	103.065467
45976	103.086315
46001	103.107155
46026	103.127988
46051	103.148813
46076	103.169631
46101	103.190441
46126	103.211244
46151	103.232040
46176	103.252828
46201	103.273608
46226	103.294382
46251	103.315148
46276	103.335907
46301	103.356658
46326	103.377402
46351	103.398138
46376	103.418868
46401	103.439589
46426	103.460304
46451	103.481011
46476	103.501711
46501	103.522404
46526	103.543089
46551	103.563767
46576	103.584438
46601	103.605101
46626	103.625757
46651	103.646406
46676	103.667048
46701	103.687682
46726	103.708309
46751	103.728929
46776	103.749542
46801	103.770147
46826	103.790745
46851	103.811336
46876	103.831920
46901	103.852497
46926	103.873066
46951	103.893628
46976	103.914183
47001	103.934731
47026	103.955271
47051	103.975805
47076	103.996331
47101	104.016850
47126	104.037362
47151	104.057867
47176	104.078365
47201	104.098855
47226	104.119339
47251	104.139815
47276	104.160284
47301	104.180746
47326	104.201201
47351	104.221649
47376	104.242090
47401	104.262523
47426	104.282950
47451	104.303370
47476	104.323782
47501	104.344188
47526	104.364586
47551	104.384977
47576	104.405362
47601	104.425739
47626	104.446109
47651	104.466472
47676	104.486829
47701	104.507178
47726	104.527520
47751	104.547855
47776	104.568183
47801	104.588505
47826	104.608819
47851	104.629126
47876	104.649426
47901	104.669720
47926	104.690006
47951	104.710286
47976	104.730558
48001	104.750824
48026	104.771082
48051	104.791334
48076	104.811579
48101	104.831817
48126	104.852048
48151	104.872272
48176	104.892489
48201	104.912699
48226	104.932902
48251	104.953099
48276	104.973289
48301	104.993471
48326	105.013647
48351	105.033816
48376	105.053979
48401	105.074134
48426	105.094283
48451	105.114424
48476	105.134559
48501	105.154687
48526	105.174809
48551	105.194923
48576	105.215031
48601	105.235132
48626	105.255226
48651	105.275313
48676	105.295393
48701	105.315467
48726	105.335534
48751	105.355594
48776	105.375648
48801	105.395694
48826	105.415734
48851	105.435768
48876	105.455794
48901	105.475814
48926	105.495827
48951	105.515833
48976	105.535833
49001	105.555826
49026	105.575812
49051	105.595791
49076	105.615764
49101	105.635730
49126	105.655690
49151	105.675643
49176	105.695589
49201	105.715528
49226	105.735461
49251	105.755387
49276	105.775307
49301	105.795220
49326	105.815126
49351	105.835026
49376	105.854919
49401	105.874805
49426	105.894685
49451	105.914558
49476	105.934425
49501	105.954285
49526	105.974138
49551	105.993985
49576	106.013825
49601	106.033659
49626	106.053486
49651	106.073306
49676	106.093120
49701	106.112928
49726	106.132729
49751	106.152523
49776	106.172311
49801	106.192092
49826	106.211867
49851	106.231635
49876	106.251397
49901	106.271152
49926	106.290901
49951	106.310644
49976	106.330379
